#pacId	locusName	transcriptName	peptideName	Pfam	Panther	KOG	ec	KO	GO	Best-hit-rice-name	rice-symbol	rice-defline
37399744	AT1G01640	AT1G01640.1	AT1G01640.1	PF00651	PTHR24413,PTHR24413:SF0			K10523	GO:0005515	LOC_Os12g02030.1		BTB9 - Bric-a-Brac, Tramtrack, Broad Complex BTB domain, expressed
37399745	AT1G01640	AT1G01640.2	AT1G01640.2	PF00651	PTHR24413,PTHR24413:SF0				GO:0005515	LOC_Os12g02030.1		BTB9 - Bric-a-Brac, Tramtrack, Broad Complex BTB domain, expressed
37395720	AT1G01650	AT1G01650.1	AT1G01650.1	PF02225,PF04258	PTHR12174,PTHR12174:SF41			K09597	GO:0016021,GO:0004190	LOC_Os06g51430.1		signal peptide peptidase-like 2B, putative, expressed
37395721	AT1G01650	AT1G01650.2	AT1G01650.2	PF04258	PTHR12174,PTHR12174:SF41				GO:0016021,GO:0004190	LOC_Os02g57710.1		signal peptide peptidase-like 2B, putative, expressed
37395723	AT1G01650	AT1G01650.3	AT1G01650.3	PF04258	PTHR12174,PTHR12174:SF41				GO:0016021,GO:0004190	LOC_Os02g57710.1		signal peptide peptidase-like 2B, putative, expressed
37395722	AT1G01650	AT1G01650.4	AT1G01650.4	PF04258	PTHR12174,PTHR12174:SF41				GO:0016021,GO:0004190	LOC_Os02g57710.1		signal peptide peptidase-like 2B, putative, expressed
37395224	AT1G01660	AT1G01660.1	AT1G01660.1	PF04564	PTHR22849,PTHR22849:SF50		6.3.2.19		GO:0016567,GO:0004842	LOC_Os09g39640.1		protein kinase, putative, expressed
37395223	AT1G01660	AT1G01660.2	AT1G01660.2	PF04564	PTHR22849,PTHR22849:SF50		6.3.2.19		GO:0016567,GO:0004842	LOC_Os09g39640.1		protein kinase, putative, expressed
37392929	AT1G01670	AT1G01670.1	AT1G01670.1	PF04564	PTHR22849,PTHR22849:SF43		6.3.2.19		GO:0016567,GO:0004842	LOC_Os02g57700.1		protein kinase, putative, expressed
37392930	AT1G01670	AT1G01670.2	AT1G01670.2	PF04564	PTHR22849,PTHR22849:SF43		6.3.2.19		GO:0016567,GO:0004842	LOC_Os02g57700.1		protein kinase, putative, expressed
37392931	AT1G01670	AT1G01670.3	AT1G01670.3	PF04564	PTHR22849,PTHR22849:SF43		6.3.2.19		GO:0016567,GO:0004842	LOC_Os06g06760.3		protein kinase, putative, expressed
37396962	AT1G01680	AT1G01680.1	AT1G01680.1	PF00582,PF04564	PTHR22849,PTHR22849:SF43		6.3.2.19		GO:0006950,GO:0016567,GO:0004842	LOC_Os02g57700.1		protein kinase, putative, expressed
37397279	AT1G01690	AT1G01690.1	AT1G01690.1		PTHR37695					LOC_Os03g01590.1		PAIR1, putative, expressed
37397280	AT1G01690	AT1G01690.2	AT1G01690.2		PTHR37695					LOC_Os03g01590.1		PAIR1, putative, expressed
37397281	AT1G01690	AT1G01690.3	AT1G01690.3		PTHR37695					LOC_Os03g01590.2		PAIR1, putative, expressed
37401009	AT1G01695	AT1G01695.1	AT1G01695.1	PF14309	PTHR21726,PTHR21726:SF30					LOC_Os10g40250.2		expressed protein
37399007	AT1G01700	AT1G01700.1	AT1G01700.1	PF03759	PTHR33101,PTHR33101:SF9				GO:0005089	LOC_Os10g40270.1		ATROPGEF7/ROPGEF7, putative, expressed
37399009	AT1G01700	AT1G01700.2	AT1G01700.2	PF03759	PTHR33101,PTHR33101:SF9				GO:0005089	LOC_Os10g40270.1		ATROPGEF7/ROPGEF7, putative, expressed
37399008	AT1G01700	AT1G01700.3	AT1G01700.3	PF03759	PTHR33101,PTHR33101:SF9				GO:0005089	LOC_Os10g40270.1		ATROPGEF7/ROPGEF7, putative, expressed
37399006	AT1G01700	AT1G01700.4	AT1G01700.4	PF03759	PTHR33101,PTHR33101:SF9				GO:0005089	LOC_Os10g40270.1		ATROPGEF7/ROPGEF7, putative, expressed
37399010	AT1G01700	AT1G01700.5	AT1G01700.5	PF03759	PTHR33101,PTHR33101:SF9				GO:0005089	LOC_Os10g40270.1		ATROPGEF7/ROPGEF7, putative, expressed
37392482	AT1G01710	AT1G01710.1	AT1G01710.1	PF00027,PF02551	PTHR11066,PTHR11066:SF34	KOG3016	3.1.2.2	K01068	GO:0047617,GO:0006637	LOC_Os04g47120.1		acyl-CoA thioesterase 2, putative, expressed
37395377	AT1G01715	AT1G01715.1	AT1G01715.1		PTHR36045,PTHR36045:SF1					LOC_Os04g47130.1		expressed protein
37395378	AT1G01715	AT1G01715.2	AT1G01715.2		PTHR36045,PTHR36045:SF1					LOC_Os04g47130.1		expressed protein
37402238	AT1G01720	AT1G01720.1	AT1G01720.1	PF02365	PTHR31719,PTHR31719:SF16				GO:0006355,GO:0003677	LOC_Os01g66120.1		No apical meristem protein, putative, expressed
37401005	AT1G01725	AT1G01725.1	AT1G01725.1		PTHR37696,PTHR37696:SF1							
37398444	AT1G01730	AT1G01730.1	AT1G01730.1		PTHR35459,PTHR35459:SF2					LOC_Os02g44540.3		expressed protein
37393682	AT1G01740	AT1G01740.1	AT1G01740.1	PF13414,PF07714	PTHR27001,PTHR27001:SF126	KOG1187	2.7.11.1	K14500	GO:0006468,GO:0004672	LOC_Os10g42110.1		protein kinase family protein, putative, expressed
37393683	AT1G01740	AT1G01740.2	AT1G01740.2	PF13414,PF07714	PTHR27001,PTHR27001:SF126	KOG1187	2.7.11.1	K14500	GO:0006468,GO:0004672	LOC_Os10g42110.1		protein kinase family protein, putative, expressed
37393686	AT1G01740	AT1G01740.3	AT1G01740.3	PF13414,PF07714	PTHR27001,PTHR27001:SF126	KOG1187	2.7.11.1,2.7.10.2		GO:0006468,GO:0004672	LOC_Os10g42110.1		protein kinase family protein, putative, expressed
37393685	AT1G01740	AT1G01740.4	AT1G01740.4	PF13414,PF07714	PTHR27001,PTHR27001:SF126	KOG1187	2.7.11.1,2.7.10.2		GO:0006468,GO:0004672	LOC_Os10g42110.1		protein kinase family protein, putative, expressed
37393684	AT1G01740	AT1G01740.5	AT1G01740.5	PF13414,PF07714	PTHR27001,PTHR27001:SF126	KOG1187	2.7.11.1	K14500	GO:0006468,GO:0004672	LOC_Os10g42110.1		protein kinase family protein, putative, expressed
37402816	AT1G01750	AT1G01750.1	AT1G01750.1	PF00241	PTHR11913,PTHR11913:SF30	KOG1735		K05765	GO:0005622,GO:0003779,GO:0030042,GO:0015629	LOC_Os02g44470.1		actin-depolymerizing factor, putative, expressed
37402815	AT1G01750	AT1G01750.2	AT1G01750.2	PF00241	PTHR11913,PTHR11913:SF30	KOG1735		K05765	GO:0005622,GO:0003779,GO:0030042,GO:0015629	LOC_Os02g44470.1		actin-depolymerizing factor, putative, expressed
37391943	AT1G01760	AT1G01760.1	AT1G01760.1	PF02137	PTHR10910		3.5.4.34	K15440	GO:0006396,GO:0004000,GO:0003723	LOC_Os04g58690.3		tRNA-specific adenosine deaminase 1, putative, expressed
37391945	AT1G01760	AT1G01760.2	AT1G01760.2	PF02137	PTHR10910		3.5.4.37		GO:0006396,GO:0004000,GO:0003723	LOC_Os04g58690.3		tRNA-specific adenosine deaminase 1, putative, expressed
37391942	AT1G01760	AT1G01760.3	AT1G01760.3	PF02137	PTHR10910		3.5.4.34	K15440	GO:0006396,GO:0004000,GO:0003723	LOC_Os04g58690.3		tRNA-specific adenosine deaminase 1, putative, expressed
37391944	AT1G01760	AT1G01760.4	AT1G01760.4	PF02137	PTHR10910		3.5.4.34	K15440	GO:0006396,GO:0004000,GO:0003723	LOC_Os04g58690.3		tRNA-specific adenosine deaminase 1, putative, expressed
37392100	AT1G01770	AT1G01770.1	AT1G01770.1	PF07287	PTHR13943,PTHR13943:SF48					LOC_Os07g27350.1		atuA, putative, expressed
37395354	AT1G01780	AT1G01780.1	AT1G01780.1	PF00412	PTHR24206,PTHR24206:SF22	KOG1700			GO:0008270	LOC_Os02g42820.1		OsPLIM2a - LIM domain protein, putative actin-binding protein and transcription factor, expressed
37397591	AT1G01790	AT1G01790.1	AT1G01790.1	PF02254,PF00999	PTHR16254,PTHR16254:SF13	KOG1650			GO:0006813,GO:0055085,GO:0016021,GO:0015299,GO:0006812	LOC_Os04g58620.1		potasium efflux antiporter protein, putative, expressed
37397592	AT1G01790	AT1G01790.2	AT1G01790.2	PF02254,PF00999	PTHR16254,PTHR16254:SF13	KOG1650			GO:0006813,GO:0055085,GO:0016021,GO:0015299,GO:0006812	LOC_Os04g58620.1		potasium efflux antiporter protein, putative, expressed
37395823	AT1G01800	AT1G01800.1	AT1G01800.1	PF00106	PTHR24322,PTHR24322:SF442	KOG1208		K15095	GO:0016491,GO:0008152	LOC_Os04g44950.1		short-chain dehydrogenase/reductase, putative, expressed
37395824	AT1G01800	AT1G01800.2	AT1G01800.2		PTHR24322,PTHR24322:SF442					LOC_Os04g44950.1		short-chain dehydrogenase/reductase, putative, expressed
37398109	AT1G01810	AT1G01810.1	AT1G01810.1									
37395372	AT1G01820	AT1G01820.1	AT1G01820.1	PF05648	PTHR12652,PTHR12652:SF16	KOG4186			GO:0016559,GO:0005779	LOC_Os06g03660.2		peroxisomal biogenesis factor 11, putative, expressed
37392085	AT1G01830	AT1G01830.1	AT1G01830.1	PF00514	PTHR23315,PTHR23315:SF97				GO:0005515	LOC_Os10g37850.1		armadillo, putative, expressed
37392087	AT1G01830	AT1G01830.2	AT1G01830.2	PF00514	PTHR23315,PTHR23315:SF97				GO:0005515	LOC_Os10g37850.1		armadillo, putative, expressed
37392086	AT1G01830	AT1G01830.3	AT1G01830.3	PF00514	PTHR23315,PTHR23315:SF97				GO:0005515	LOC_Os10g37850.1		armadillo, putative, expressed
37399023	AT1G01840	AT1G01840.1	AT1G01840.1		PTHR37697							
37396622	AT1G01860	AT1G01860.1	AT1G01860.1	PF00398	PTHR11727,PTHR11727:SF11	KOG0820	2.1.1.182			LOC_Os02g03050.1		dimethyladenosine transferase, putative, expressed
37396624	AT1G01860	AT1G01860.2	AT1G01860.2	PF00398	PTHR11727,PTHR11727:SF11	KOG0820	2.1.1.182			LOC_Os02g03050.1		dimethyladenosine transferase, putative, expressed
37396623	AT1G01860	AT1G01860.3	AT1G01860.3	PF00398	PTHR11727,PTHR11727:SF11	KOG0820	2.1.1.182			LOC_Os02g03050.1		dimethyladenosine transferase, putative, expressed
37396621	AT1G01860	AT1G01860.4	AT1G01860.4	PF00398	PTHR11727,PTHR11727:SF11	KOG0820	2.1.1.182			LOC_Os02g03050.1		dimethyladenosine transferase, putative, expressed
37396625	AT1G01860	AT1G01860.5	AT1G01860.5	PF00398	PTHR11727,PTHR11727:SF11		2.1.1.182			LOC_Os02g03050.1		dimethyladenosine transferase, putative, expressed
37400990	AT1G01880	AT1G01880.1	AT1G01880.1	PF00752,PF00867	PTHR11081,PTHR11081:SF23	KOG2519	3.1.16.1	K15338	GO:0006281,GO:0004518	LOC_Os09g35000.1		flap endonuclease, putative, expressed
37400991	AT1G01880	AT1G01880.2	AT1G01880.2	PF00752,PF00867	PTHR11081,PTHR11081:SF23	KOG2519	3.1.16.1	K15338	GO:0006281,GO:0004518	LOC_Os09g35000.1		flap endonuclease, putative, expressed
37400989	AT1G01880	AT1G01880.3	AT1G01880.3	PF00752,PF00867	PTHR11081,PTHR11081:SF23	KOG2519	3.1.16.1	K15338	GO:0006281,GO:0004518	LOC_Os09g35000.1		flap endonuclease, putative, expressed
37400992	AT1G01880	AT1G01880.4	AT1G01880.4	PF00867	PTHR11081,PTHR11081:SF23	KOG2519	3.1.16.1		GO:0004518,GO:0006281	LOC_Os09g35000.1		flap endonuclease, putative, expressed
37402124	AT1G01900	AT1G01900.1	AT1G01900.1	PF05922,PF02225,PF00082	PTHR10795,PTHR10795:SF387		3.4.14.10		GO:0006508,GO:0004252	LOC_Os04g48416.1		OsSub45 - Putative Subtilisin homologue, expressed
37396874	AT1G01910	AT1G01910.1	AT1G01910.1	PF01656	PTHR10803,PTHR10803:SF3	KOG2825	3.6.3.16	K01551	GO:0016887,GO:0005524	LOC_Os09g34970.1		arsenical pump-driving ATPase, putative, expressed
37396873	AT1G01910	AT1G01910.2	AT1G01910.2	PF01656	PTHR10803,PTHR10803:SF3	KOG2825	3.6.3.16	K01551	GO:0016887,GO:0005524	LOC_Os09g34970.1		arsenical pump-driving ATPase, putative, expressed
37396875	AT1G01910	AT1G01910.3	AT1G01910.3	PF01656	PTHR10803,PTHR10803:SF3	KOG2825	3.6.3.16	K01551	GO:0016887,GO:0005524	LOC_Os09g34970.1		arsenical pump-driving ATPase, putative, expressed
37396872	AT1G01910	AT1G01910.4	AT1G01910.4	PF01656	PTHR10803,PTHR10803:SF3	KOG2825	3.6.3.16	K01551	GO:0016887,GO:0005524	LOC_Os09g34970.1		arsenical pump-driving ATPase, putative, expressed
37396876	AT1G01910	AT1G01910.5	AT1G01910.5	PF02374	PTHR10803,PTHR10803:SF3		3.6.3.16		GO:0016887,GO:0005524	LOC_Os09g34970.1		arsenical pump-driving ATPase, putative, expressed
37393771	AT1G01920	AT1G01920.1	AT1G01920.1	PF00856	PTHR13271,PTHR13271:SF41	KOG1337	2.1.1.43		GO:0005515	LOC_Os06g03676.1		CAMK_CAMK_like.6 - CAMK includes calcium/calmodulin depedent protein kinases, expressed
37393772	AT1G01920	AT1G01920.2	AT1G01920.2	PF00856	PTHR13271,PTHR13271:SF41	KOG1337	2.1.1.43		GO:0005515	LOC_Os06g03676.1		CAMK_CAMK_like.6 - CAMK includes calcium/calmodulin depedent protein kinases, expressed
37393775	AT1G01920	AT1G01920.3	AT1G01920.3	PF00856	PTHR13271,PTHR13271:SF41	KOG1337	2.1.1.43		GO:0005515	LOC_Os06g03676.1		CAMK_CAMK_like.6 - CAMK includes calcium/calmodulin depedent protein kinases, expressed
37393774	AT1G01920	AT1G01920.4	AT1G01920.4	PF00856	PTHR13271,PTHR13271:SF41	KOG1337	2.1.1.43		GO:0005515	LOC_Os06g03676.1		CAMK_CAMK_like.6 - CAMK includes calcium/calmodulin depedent protein kinases, expressed
37393773	AT1G01920	AT1G01920.5	AT1G01920.5	PF00856	PTHR13271,PTHR13271:SF41	KOG1337	2.1.1.43		GO:0005515	LOC_Os06g03676.1		CAMK_CAMK_like.6 - CAMK includes calcium/calmodulin depedent protein kinases, expressed
37392696	AT1G01930	AT1G01930.1	AT1G01930.1		PTHR16036,PTHR16036:SF2					LOC_Os04g48520.1		ZOS4-12 - C2H2 zinc finger protein, expressed
37400654	AT1G01940	AT1G01940.1	AT1G01940.1	PF00160	PTHR11071	KOG0884	5.2.1.8	K12734	GO:0006457,GO:0003755,GO:0000413	LOC_Os06g04000.1		peptidyl-prolyl cis-trans isomerase, putative, expressed
37391369	AT1G01950	AT1G01950.1	AT1G01950.1	PF00514,PF00225	PTHR24115,PTHR24115:SF533	KOG0240	3.6.4.4		GO:0005515,GO:0008017,GO:0007018,GO:0005524,GO:0003777,GO:0005871	LOC_Os06g04560.1		kinesin motor domain containing protein, expressed
37391370	AT1G01950	AT1G01950.2	AT1G01950.2	PF00514,PF00225	PTHR24115,PTHR24115:SF533	KOG0240	3.6.4.4		GO:0005515,GO:0008017,GO:0007018,GO:0005524,GO:0003777,GO:0005871	LOC_Os06g04560.1		kinesin motor domain containing protein, expressed
37391368	AT1G01950	AT1G01950.3	AT1G01950.3	PF00514,PF00225	PTHR24115,PTHR24115:SF533	KOG0240	3.6.4.4		GO:0005515,GO:0008017,GO:0007018,GO:0005524,GO:0003777,GO:0005871	LOC_Os06g04560.1		kinesin motor domain containing protein, expressed
37391371	AT1G01950	AT1G01950.4	AT1G01950.4	PF00514,PF00225	PTHR24115,PTHR24115:SF533	KOG4280	3.6.4.4		GO:0005515,GO:0008017,GO:0007018,GO:0005524,GO:0003777,GO:0005871	LOC_Os06g04560.1		kinesin motor domain containing protein, expressed
37400615	AT1G01960	AT1G01960.1	AT1G01960.1	PF16206,PF09324,PF12783,PF16213,PF01369	PTHR10663,PTHR10663:SF42			K18442	GO:0032012,GO:0005086	LOC_Os03g14260.1		guanine nucleotide exchange family protein, putative, expressed
37395743	AT1G01970	AT1G01970.1	AT1G01970.1	PF13812,PF01535	PTHR24015,PTHR24015:SF457					LOC_Os07g46730.2		PPR repeat domain containing protein, putative, expressed
37400502	AT1G01980	AT1G01980.1	AT1G01980.1	PF01565,PF08031	PTHR32448,PTHR32448:SF34	KOG1231	1.3.3.8		GO:0055114,GO:0050660,GO:0016491	LOC_Os06g35700.1		reticuline oxidase-like protein precursor, putative, expressed
37393289	AT1G01990	AT1G01990.1	AT1G01990.1									
37391335	AT1G02000	AT1G02000.1	AT1G02000.1	PF01073	PTHR10366,PTHR10366:SF319		5.1.3.6	K08679	GO:0055114,GO:0016616,GO:0006694,GO:0003854	LOC_Os02g54890.1		UDP-glucuronate 4-epimerase, putative, expressed
37391215	AT1G02010	AT1G02010.1	AT1G02010.1	PF00995	PTHR11679,PTHR11679:SF38			K15292	GO:0016192,GO:0006904	LOC_Os02g25580.1		Sec1 family transport protein, putative, expressed
37391216	AT1G02010	AT1G02010.2	AT1G02010.2	PF00995	PTHR11679,PTHR11679:SF38			K15292	GO:0016192,GO:0006904	LOC_Os02g25580.1		Sec1 family transport protein, putative, expressed
37391218	AT1G02010	AT1G02010.3	AT1G02010.3	PF00995	PTHR11679,PTHR11679:SF38				GO:0016192,GO:0006904	LOC_Os02g25580.1		Sec1 family transport protein, putative, expressed
37391214	AT1G02010	AT1G02010.4	AT1G02010.4	PF00995	PTHR11679,PTHR11679:SF38			K15292	GO:0016192,GO:0006904	LOC_Os02g25580.1		Sec1 family transport protein, putative, expressed
37391217	AT1G02010	AT1G02010.5	AT1G02010.5	PF00995	PTHR11679,PTHR11679:SF38			K15292	GO:0016192,GO:0006904	LOC_Os02g25580.1		Sec1 family transport protein, putative, expressed
37391219	AT1G02010	AT1G02010.6	AT1G02010.6	PF00995	PTHR11679,PTHR11679:SF38				GO:0016192,GO:0006904	LOC_Os02g25580.1		Sec1 family transport protein, putative, expressed
37401701	AT1G02020	AT1G02020.1	AT1G02020.1	PF00881	PTHR23026,PTHR23026:SF102					LOC_Os10g11340.1		nitroreductase family protein, putative, expressed
37401702	AT1G02020	AT1G02020.2	AT1G02020.2	PF00881	PTHR23026,PTHR23026:SF102					LOC_Os10g11340.1		nitroreductase family protein, putative, expressed
37401703	AT1G02020	AT1G02020.3	AT1G02020.3	PF00881						LOC_Os10g11340.1		nitroreductase family protein, putative, expressed
37397863	AT1G02030	AT1G02030.1	AT1G02030.1	PF13912	PTHR26374,PTHR26374:SF175					LOC_Os10g40660.1		ZOS10-07 - C2H2 zinc finger protein, expressed
37402625	AT1G02040	AT1G02040.1	AT1G02040.1	PF13912	PTHR26374					LOC_Os02g44120.1		ZOS2-13 - C2H2 zinc finger protein, expressed
37392934	AT1G02050	AT1G02050.1	AT1G02050.1	PF00195	PTHR11877,PTHR11877:SF25					LOC_Os10g34360.1		stilbene synthase, putative, expressed
37392776	AT1G02060	AT1G02060.1	AT1G02060.1	PF01535,PF13041	PTHR24015,PTHR24015:SF863					LOC_Os02g02950.1		pentatricopeptide, putative, expressed
37402159	AT1G02065	AT1G02065.1	AT1G02065.1	PF03110	PTHR31251,PTHR31251:SF4				GO:0005634,GO:0003677	LOC_Os06g44860.1		OsSPL10 - SBP-box gene family member, expressed
37402160	AT1G02065	AT1G02065.2	AT1G02065.2	PF03110	PTHR31251,PTHR31251:SF4				GO:0005634,GO:0003677	LOC_Os06g44860.1		OsSPL10 - SBP-box gene family member, expressed
37393437	AT1G02067	AT1G02067.1	AT1G02067.1									
37396816	AT1G02070	AT1G02070.1	AT1G02070.1		PTHR33779,PTHR33779:SF2					LOC_Os04g46600.1		zinc finger protein, putative, expressed
37391854	AT1G02080	AT1G02080.1	AT1G02080.1	PF16418,PF12842,PF16417,PF16415,PF04054	PTHR13162,PTHR13162:SF8			K12604		LOC_Os10g40780.1		CCR4-Not complex component, Not1domain containing protein, expressed
37391856	AT1G02080	AT1G02080.2	AT1G02080.2	PF16418,PF12842,PF16417,PF16415,PF04054	PTHR13162,PTHR13162:SF8			K12604		LOC_Os10g40780.1		CCR4-Not complex component, Not1domain containing protein, expressed
37391855	AT1G02080	AT1G02080.3	AT1G02080.3	PF16418,PF12842,PF16417,PF16415,PF04054	PTHR13162,PTHR13162:SF8			K12604		LOC_Os10g40780.1		CCR4-Not complex component, Not1domain containing protein, expressed
37394247	AT1G02090	AT1G02090.1	AT1G02090.1		PTHR15350	KOG3250		K12180		LOC_Os07g30840.2		proteasome subunit, putative, expressed
37394249	AT1G02090	AT1G02090.2	AT1G02090.2		PTHR15350	KOG3250				LOC_Os07g30840.4		proteasome subunit, putative, expressed
37394248	AT1G02090	AT1G02090.3	AT1G02090.3		PTHR15350	KOG3250				LOC_Os07g30840.4		proteasome subunit, putative, expressed
37392849	AT1G02100	AT1G02100.1	AT1G02100.1	PF04072	PTHR13600,PTHR13600:SF6	KOG2918	2.1.1.233	K15451	GO:0032259,GO:0008168	LOC_Os06g04820.1		leucine carboxyl methyltransferase 1, putative, expressed
37392851	AT1G02100	AT1G02100.2	AT1G02100.2	PF04072	PTHR13600,PTHR13600:SF6	KOG2918	2.1.1.233		GO:0032259,GO:0008168	LOC_Os06g04820.1		leucine carboxyl methyltransferase 1, putative, expressed
37392850	AT1G02100	AT1G02100.3	AT1G02100.3	PF04072	PTHR13600,PTHR13600:SF6	KOG2918	2.1.1.233	K15451	GO:0032259,GO:0008168	LOC_Os06g04820.1		leucine carboxyl methyltransferase 1, putative, expressed
37394718	AT1G02110	AT1G02110.1	AT1G02110.1	PF04783,PF04782	PTHR21450,PTHR21450:SF9					LOC_Os09g36760.1		DUF630/DUF632 domains containing protein, putative, expressed
37395859	AT1G02120	AT1G02120.1	AT1G02120.1	PF02893,PF16016	PTHR23319	KOG1032				LOC_Os07g30940.1		expressed protein
37395860	AT1G02120	AT1G02120.2	AT1G02120.2	PF02893,PF16016	PTHR23319					LOC_Os07g30940.1		expressed protein
37395861	AT1G02120	AT1G02120.3	AT1G02120.3	PF02893,PF16016	PTHR23319					LOC_Os09g34130.1		GRAM domain containing protein, expressed
37392332	AT1G02130	AT1G02130.1	AT1G02130.1	PF00025	PTHR24073,PTHR24073:SF520	KOG0084		K07874	GO:0005525	LOC_Os01g08450.1		ras-related protein, putative, expressed
37399362	AT1G02140	AT1G02140.1	AT1G02140.1	PF02792	PTHR12638	KOG3392		K12877	GO:0005634	LOC_Os12g18880.1		mago nashi, putative, expressed
37397636	AT1G02145	AT1G02145.1	AT1G02145.1	PF03901	PTHR22760,PTHR22760:SF1	KOG2516	2.4.1.260	K03847	GO:0016757	LOC_Os04g46050.1		Alg9-like mannosyltransferase protein, putative, expressed
37397638	AT1G02145	AT1G02145.2	AT1G02145.2	PF03901	PTHR22760,PTHR22760:SF1		2.4.1.260		GO:0016757	LOC_Os04g46050.1		Alg9-like mannosyltransferase protein, putative, expressed
37397635	AT1G02145	AT1G02145.3	AT1G02145.3	PF03901	PTHR22760,PTHR22760:SF1	KOG2516	2.4.1.260	K03847	GO:0016757	LOC_Os04g46050.1		Alg9-like mannosyltransferase protein, putative, expressed
37397637	AT1G02145	AT1G02145.4	AT1G02145.4	PF03901	PTHR22760,PTHR22760:SF1	KOG2516	2.4.1.260		GO:0016757	LOC_Os04g46050.1		Alg9-like mannosyltransferase protein, putative, expressed
37393700	AT1G02150	AT1G02150.1	AT1G02150.1	PF13812,PF01535	PTHR24015,PTHR24015:SF27					LOC_Os04g46010.1		PPR repeat domain containing protein, putative, expressed
37401095	AT1G02160	AT1G02160.1	AT1G02160.1	PF06747	PTHR21588	KOG4618		K18185		LOC_Os07g09120.1		expressed protein
37401094	AT1G02160	AT1G02160.2	AT1G02160.2	PF06747	PTHR21588	KOG4618				LOC_Os03g48080.1		CHCH domain containing protein, expressed
37399781	AT1G02170	AT1G02170.1	AT1G02170.1	PF06943,PF00656	PTHR31773,PTHR31773:SF11	KOG1546			GO:0006508,GO:0004197	LOC_Os03g27210.1		LOL3, putative, expressed
37398481	AT1G02180	AT1G02180.1	AT1G02180.1		PTHR34537,PTHR34537:SF2					LOC_Os02g58740.1		expressed protein
37391053	AT1G02190	AT1G02190.1	AT1G02190.1	PF04116,PF12076	PTHR11863,PTHR11863:SF56				GO:0055114,GO:0016491,GO:0006633,GO:0005506	LOC_Os02g40784.1		WAX2, putative, expressed
37391054	AT1G02190	AT1G02190.2	AT1G02190.2	PF04116,PF12076	PTHR11863,PTHR11863:SF56				GO:0055114,GO:0016491,GO:0006633,GO:0005506	LOC_Os02g40784.1		WAX2, putative, expressed
37392710	AT1G02205	AT1G02205.1	AT1G02205.1	PF04116,PF12076	PTHR11863,PTHR11863:SF41				GO:0055114,GO:0016491,GO:0006633,GO:0005506	LOC_Os10g33250.1		WAX2, putative, expressed
37392709	AT1G02205	AT1G02205.2	AT1G02205.2	PF04116,PF12076	PTHR11863,PTHR11863:SF41			K15404	GO:0055114,GO:0016491,GO:0006633,GO:0005506	LOC_Os10g33250.1		WAX2, putative, expressed
37392707	AT1G02205	AT1G02205.3	AT1G02205.3	PF04116,PF12076	PTHR11863,PTHR11863:SF41			K15404	GO:0055114,GO:0016491,GO:0006633,GO:0005506	LOC_Os10g33250.1		WAX2, putative, expressed
37392708	AT1G02205	AT1G02205.4	AT1G02205.4	PF04116,PF12076	PTHR11863,PTHR11863:SF41			K15404	GO:0055114,GO:0016491,GO:0006633,GO:0005506	LOC_Os10g33250.1		WAX2, putative, expressed
37392711	AT1G02205	AT1G02205.5	AT1G02205.5	PF12076	PTHR11863,PTHR11863:SF41					LOC_Os10g33250.2		WAX2, putative, expressed
37403011	AT1G02210	AT1G02210.1	AT1G02210.1	PF02365	PTHR31719,PTHR31719:SF40				GO:0006355,GO:0003677	LOC_Os03g21060.1		No apical meristem protein, putative, expressed
37393430	AT1G02220	AT1G02220.1	AT1G02220.1	PF02365	PTHR31989,PTHR31989:SF5				GO:0006355,GO:0003677	LOC_Os08g06140.1		no apical meristem protein, putative, expressed
37403261	AT1G02230	AT1G02230.1	AT1G02230.1	PF02365	PTHR31989,PTHR31989:SF5				GO:0006355,GO:0003677	LOC_Os08g06140.1		no apical meristem protein, putative, expressed
37395963	AT1G02250	AT1G02250.1	AT1G02250.1	PF02365	PTHR31989,PTHR31989:SF5				GO:0006355,GO:0003677	LOC_Os08g06140.1		no apical meristem protein, putative, expressed
37398746	AT1G02260	AT1G02260.1	AT1G02260.1	PF02040	PTHR10283,PTHR10283:SF94				GO:0016021,GO:0015700,GO:0015105	LOC_Os03g05390.2		Citrate transporter protein, putative, expressed
37398747	AT1G02260	AT1G02260.2	AT1G02260.2	PF02040	PTHR10283,PTHR10283:SF94				GO:0016021,GO:0015700,GO:0015105	LOC_Os03g05390.2		Citrate transporter protein, putative, expressed
37402979	AT1G02270	AT1G02270.1	AT1G02270.1	PF03372	PTHR12121,PTHR12121:SF44	KOG2338				LOC_Os10g13550.1		endonuclease/exonuclease/phosphatase family domain containing protein, expressed
37402980	AT1G02270	AT1G02270.2	AT1G02270.2	PF03372	PTHR12121,PTHR12121:SF44					LOC_Os10g13550.1		endonuclease/exonuclease/phosphatase family domain containing protein, expressed
37393624	AT1G02280	AT1G02280.1	AT1G02280.1	PF01926	PTHR10903				GO:0005525	LOC_Os03g13730.1		translocase of chloroplast 34, putative, expressed
37393625	AT1G02280	AT1G02280.2	AT1G02280.2	PF01926	PTHR10903				GO:0005525	LOC_Os03g13730.1		translocase of chloroplast 34, putative, expressed
37394308	AT1G02290	AT1G02290.1	AT1G02290.1		PTHR13052,PTHR13052:SF1				GO:0031011	LOC_Os08g39120.1		expressed protein
